Accident_ID,Latitude,Longitude,Date,Time,Day_of_Week,Traffic_Volume,Road_Type,Speed_Limit,Weather_Condition,Visibility,Lighting_Condition,Proximity_to_Intersection,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Pedestrian_Involved,Driver_Distraction
A00179,10.0622,74.0536,2024-06-08,08:15:54,Saturday,696,Urban,70,Clear,374,Daylight,174,3,2,3,Yes,Alcohol
A00180,9.4759,74.7579,2024-01-16,02:07:33,Sunday,1463,Highway,40,Overcast,1040,Night,19,2,4,2,No,None
A00181,10.6902,74.0148,2024-10-31,03:23:56,Monday,357,Highway,50,Fog,496,Daylight,11,3,1,3,Yes,Mobile
A00182,10.3533,75.1926,2024-07-12,08:56:15,Saturday,1667,Urban,40,Overcast,231,Night,62,3,3,0,No,Alcohol
A00183,11.0054,76.3854,2024-09-18,04:03:55,Monday,1560,Highway,50,Fog,1078,Night,95,2,2,2,No,Alcohol
A00184,11.376,75.3794,2024-03-27,05:21:16,Tuesday,280,Highway,50,Fog,964,Night,79,3,4,2,Yes,Fatigue
A00185,10.4823,75.7514,2024-03-11,15:39:18,Thursday,1300,Residential,40,Fog,1279,Daylight,176,1,4,0,No,None
A00186,10.0557,76.8668,2024-08-13,16:39:43,Wednesday,361,Highway,40,Fog,828,Daylight,42,2,4,1,No,Fatigue
A00187,9.1445,75.9425,2024-03-13,11:31:27,Wednesday,1671,Urban,40,Clear,959,Daylight,198,2,2,0,No,Fatigue
A00188,10.3524,75.1265,2024-08-21,02:40:36,Wednesday,1761,Residential,40,Overcast,1033,Daylight,85,3,1,1,Yes,None
A00189,8.5261,76.7124,2024-08-24,08:50:10,Tuesday,1060,Highway,70,Clear,1800,Night,51,3,4,0,No,Alcohol
A00190,11.9193,75.6,2024-06-12,18:43:05,Saturday,245,Residential,30,Rain,886,Daylight,151,2,1,0,Yes,Alcohol
A00191,11.2711,76.7792,2024-08-17,23:39:27,Saturday,949,Urban,50,Overcast,1179,Night,110,2,3,2,Yes,Mobile
A00192,10.0105,75.8128,2024-08-18,02:18:32,Tuesday,291,Highway,70,Overcast,1998,Daylight,160,3,1,2,No,Fatigue
A00193,9.5925,74.9275,2024-10-31,10:15:06,Monday,1446,Highway,60,Clear,1230,Night,45,3,2,1,Yes,Alcohol
A00194,11.7465,76.635,2024-04-11,22:21:40,Thursday,1428,Residential,60,Clear,165,Night,87,3,4,2,Yes,Fatigue
A00195,12.4085,76.5152,2024-06-14,16:06:08,Saturday,318,Urban,30,Overcast,1733,Night,31,2,2,2,No,Mobile
A00196,8.268,76.4965,2024-08-23,04:08:17,Thursday,774,Highway,40,Overcast,1731,Night,59,1,4,3,Yes,None
A00197,10.2584,77.3431,2024-02-23,17:06:24,Friday,1333,Residential,50,Fog,1656,Daylight,15,1,2,0,No,None
A00198,10.1572,77.0388,2024-10-11,15:04:35,Sunday,897,Highway,60,Clear,871,Daylight,200,2,1,3,No,Alcohol
A00199,9.9075,76.5747,2024-03-13,15:25:16,Tuesday,1423,Urban,40,Fog,1597,Night,184,2,1,1,No,Fatigue
A00200,10.0246,76.9515,2024-01-12,05:44:36,Saturday,1526,Urban,30,Fog,1015,Night,164,2,1,2,Yes,Fatigue
A00201,8.1217,74.2345,2024-04-27,20:33:56,Tuesday,492,Urban,30,Clear,1200,Daylight,118,1,4,3,Yes,Mobile
A00202,8.7834,75.6354,2024-12-28,08:03:48,Wednesday,1509,Urban,30,Fog,1731,Daylight,178,3,3,0,Yes,Mobile
A00203,10.3019,76.0719,2024-10-20,10:08:42,Sunday,694,Highway,30,Fog,1112,Daylight,115,2,1,0,Yes,Mobile
A00204,9.0165,75.8808,2024-12-24,07:11:55,Friday,270,Urban,70,Clear,1366,Night,172,1,1,1,Yes,Mobile
